ActivityHour,MET00,MET01,MET02,MET03,MET04,MET05,MET06,MET07,MET08,MET09,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26,MET27,MET28,MET29,MET30,MET31,MET32,MET33,MET34,MET35,MET36,MET37,MET38,MET39,MET40,MET41,MET42,MET43,MET44,MET45,MET46,MET47,MET48,MET49,MET50,MET51,MET52,MET53,MET54,MET55,MET56,MET57,MET58,MET59
10/23/2014 1:00:00 PM,10,10,10,10,10,26,10,12,10,12,12,24,12,10,10,10,12,12,10,10,10,10,10,12,12,10,10,12,10,10,10,10,10,10,12,12,12,12,12,10,10,12,10,12,12,10,12,12,12,30,10,12,12,12,12,30,58,36,38,10
10/23/2014 2:00:00 PM,10,10,12,12,12,12,12,12,32,56,66,74,85,99,97,97,97,68,26,12,12,12,10,12,12,12,12,12,40,30,30,10,10,10,12,12,32,38,12,12,12,12,10,10,12,10,10,10,10,10,26,12,12,12,10,26,12,12,12,12
10/23/2014 3:00:00 PM,12,12,10,12,12,10,12,10,10,10,10,10,10,10,10,12,12,10,10,10,10,26,10,12,28,28,12,10,10,10,10,12,12,12,10,10,12,12,10,10,10,12,10,12,12,36,30,10,24,12,38,40,12,12,12,12,12,10,12,12
10/23/2014 4:00:00 PM,12,12,12,26,50,32,32,10,32,12,12,10,10,12,10,12,10,10,10,12,10,10,10,10,10,12,10,10,10,12,12,12,10,12,10,12,10,10,10,12,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12
10/23/2014 5:00:00 PM,10,10,10,10,10,10,10,10,10,10,28,30,34,12,12,26,12,28,28,30,12,12,12,30,30,38,12,32,36,24,28,12,12,28,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10
10/23/2014 6:00:00 PM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,10,10,26,26,12,12,12,12,28,12,12,12,10,10,10,10,10,10,10,10,10,12,26,10,10,12,12,10,10,10,10,10,10,10,10,10,10,12
10/23/2014 7:00:00 PM,12,12,12,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,12,10,10,10,12,10,10,10,12,12,10,10,10,10,10,12,10,10,12,10,10,10,26,26,30,12,10,10,10,12,12,12,12,12,12,12,12,32,28
10/23/2014 8:00:00 PM,12,12,12,10,12,32,32,30,12,26,10,32,38,24,12,10,10,10,12,28,28,12,12,12,12,10,10,10,10,12,12,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10
10/23/2014 9:00:00 PM,10,10,10,10,26,12,30,26,12,28,12,10,10,10,10,12,10,10,10,10,10,10,10,10,12,10,10,10,10,10,26,32,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/23/2014 10:00:00 PM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/23/2014 11:00:00 PM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/24/2014 12:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/24/2014 1:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/24/2014 2:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/24/2014 3:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/24/2014 4:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/24/2014 5:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10/24/2014 6:00:00 AM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,32,36
10/24/2014 7:00:00 AM,24,10,10,10,10,10,10,10,10,10,30,32,32,26,24,12,12,36,38,24,12,26,32,26,10,10,32,36,12,30,26,28,12,12,12,12,10,10,10,10,12,10,24,12,42,74,74,76,74,72,72,72,66,68,42,10,12,12,12,12
10/24/2014 8:00:00 AM,10,10,28,50,42,40,10,32,30,40,50,40,50,42,64,62,38,34,52,56,42,12,50,48,36,38,44,42,38,56,48,42,54,50,44,62,30,60,38,56,42,36,34,42,58,56,60,44,42,42,36,42,58,44,50,28,48,44,44,70
10/24/2014 9:00:00 AM,70,68,62,12,12,10,12,10,10,10,10,10,10,10,12,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,12,10,12,12,10,10,10,12,24,12,12,12,12,12,10,10,10,10,12,12,12,12,12,26,12,10,12,12,10
