ActivityDay,Calories
1/11/2014,2341
1/12/2014,2152
1/13/2014,2614
1/14/2014,2556
1/15/2014,2297
1/16/2014,2536
1/17/2014,2729
1/18/2014,2786
1/19/2014,2557
1/20/2014,2433
1/21/2014,2860
1/22/2014,2665
1/23/2014,2597
1/24/2014,2506
1/25/2014,2665
1/26/2014,2665
1/27/2014,2473
1/28/2014,2812
1/29/2014,2504
1/30/2014,2624
1/31/2014,2665
2/1/2014,2665
2/2/2014,2665
2/3/2014,2665
2/4/2014,2665
2/5/2014,3047
2/6/2014,2665
2/7/2014,2665
2/8/2014,2665
2/9/2014,2665
2/10/2014,2665
2/11/2014,2665
2/12/2014,2665
2/13/2014,2665
2/14/2014,2665
2/15/2014,2665
2/16/2014,2665
2/17/2014,2665
2/18/2014,2665
2/19/2014,2665
2/20/2014,2665
2/21/2014,2665
2/22/2014,2665
2/23/2014,2665
2/24/2014,2665
2/25/2014,2665
2/26/2014,2665
2/27/2014,2665
2/28/2014,2665
3/1/2014,2665
3/2/2014,2665
3/3/2014,2307
3/4/2014,2665
3/5/2014,2574
3/6/2014,2670
3/7/2014,2597
3/8/2014,2987
3/9/2014,3354
3/10/2014,2869
3/11/2014,3262
3/12/2014,2681
3/13/2014,2836
3/14/2014,2657
3/15/2014,2243
3/16/2014,2718
3/17/2014,2641
3/18/2014,2532
3/19/2014,2681
3/20/2014,2569
3/21/2014,2702
3/22/2014,2370
3/23/2014,2681
3/24/2014,2681
3/25/2014,2657
3/26/2014,2742
3/27/2014,2753
3/28/2014,2681
3/29/2014,2681
3/30/2014,2543
3/31/2014,2681
4/1/2014,2681
4/2/2014,2681
4/3/2014,2681
4/4/2014,2351
4/5/2014,2632
4/6/2014,2681
4/7/2014,2482
4/8/2014,2424
4/9/2014,2465
4/10/2014,2681
4/11/2014,2449
4/12/2014,2681
4/13/2014,3282
4/14/2014,2461
4/15/2014,2391
4/16/2014,2681
4/17/2014,2681
4/18/2014,2681
4/19/2014,2681
