ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
3/12/2013,998,222,56,17,0.0099999997764825821,0.9100000262260437,1.7100000381469727,1.3999999761581421
3/13/2013,849,159,46,1,0,0.61000001430511475,1.2300000190734863,0.12999999523162842
3/14/2013,1086,219,107,28,0,1.3500000238418579,4.21999979019165,2.5199999809265137
3/15/2013,777,261,63,18,0,0.93000000715255737,2.5899999141693115,1.4299999475479126
3/16/2013,1127,269,40,4,0,1.690000057220459,1.2899999618530273,0.27000001072883606
3/17/2013,1225,179,36,0,0,1.4299999475479126,1.25,0.059999998658895493
3/18/2013,964,32,4,0,0,0.070000000298023224,0.029999999329447746,0
3/19/2013,567,328,111,33,0,1.6699999570846558,4.4099998474121094,2.7000000476837158
3/20/2013,759,267,79,8,0,1.7599999904632568,2.5699999332427979,0.6600000262260437
3/21/2013,1095,255,66,14,0,0.99000000953674316,2.3299999237060547,0.98000001907348633
3/22/2013,647,371,99,8,0,2.5899999141693115,3.9900000095367432,0.70999997854232788
3/23/2013,1431,8,1,0,0,0.019999999552965164,0,0
3/24/2013,1438,2,0,0,0,0,0,0
3/25/2013,195,220,59,5,0,1.1399999856948853,2.0899999141693115,0.37000000476837158
3/26/2013,725,281,128,19,0,2.2100000381469727,5.9899997711181641,1.7899999618530273
3/27/2013,1376,55,9,0,0,0.12999999523162842,0.43000000715255737,0
3/28/2013,1198,210,25,0,0,1.4700000286102295,0.75,0
3/29/2013,674,174,42,0,0,0.81000000238418579,1.0800000429153442,0
3/30/2013,628,245,94,1,0,1.4199999570846558,2.9500000476837158,0.039999999105930328
3/31/2013,1437,3,0,0,0,0.019999999552965164,0,0
4/1/2013,796,205,55,6,0,0.99000000953674316,2.0999999046325684,0.44999998807907104
4/2/2013,785,199,53,13,0,0.93999999761581421,1.559999942779541,1.1699999570846558
4/3/2013,732,232,67,4,0,0.86000001430511475,2.3499999046325684,0.40000000596046448
4/4/2013,469,361,69,15,0.019999999552965164,2.0399999618530273,2.1600000858306885,1.2100000381469727
4/5/2013,979,25,0,0,0,0.05000000074505806,0,0
4/6/2013,1440,0,0,0,0,0,0,0
4/7/2013,1440,0,0,0,0,0,0,0
4/8/2013,1440,0,0,0,0,0,0,0
4/9/2013,1440,0,0,0,0,0,0,0
4/10/2013,1440,0,0,0,0,0,0,0
4/11/2013,1440,0,0,0,0,0,0,0
4/12/2013,1440,0,0,0,0,0,0,0
4/13/2013,1440,0,0,0,0,0,0,0
4/14/2013,1440,0,0,0,0,0,0,0
4/15/2013,1440,0,0,0,0,0,0,0
4/16/2013,1440,0,0,0,0,0,0,0
4/17/2013,1216,122,49,53,0,0.86000001430511475,2.0899999141693115,5.9600000381469727
4/18/2013,649,254,108,12,0,1.1399999856948853,4.7899999618530273,1.2699999809265137
4/19/2013,552,395,73,0,0.0099999997764825821,3.059999942779541,2.1700000762939453,0
4/20/2013,1005,276,98,9,0,1.7300000190734863,3.0499999523162842,0.550000011920929
4/21/2013,615,274,70,2,0.0099999997764825821,1.9500000476837158,2.4100000858306885,0.28999999165534973
